Record number	date	time	Radial Pump P(MPa)	Radial Pump V(mL)	Radial Pump Q(mL/m)	Axial Pump P(MPa)	Axial Pump V(mL)	Axial Pump Q(mL/m)	Bottom Pore Pump P(MPa)	Bottom Pore Pump V(mL)	Bottom Pore Pump Q(mL/m)	Top Pore Pump P(MPa)	Top Pore Pump V(mL)	Top Pore Pump Q(mL/m)	Radial Pressure(MPa)	Axial Pressure(MPa)	Top Pore Pressure(MPa)	Bottom Pore Pressure(MPa)	Calculated Axial Stress(MPa)	Calculated Axial Load(kN)	T Cap reg(°C)	T Body reg(°C)	Top Temperature(°C)	Bottom Temperature (°C)	Deformation 1(mm)	Deformation 2(mm)	Deformation 3(mm)	Average Deformation(mm)	Relative Average Deformation(mm)	
1	31/03/2017	12:03:17	 0.697	275.000	10.000	 0.357	206.937	  -0.6	 0.988	184.557	 -0.03	 0.197	146.841	 -1.47	 0.538	 0.260	  0.02	  0.04	0.846517363765088	1.0637675800026	 23.63	 23.50	 26.44	 25.81	13.766	13.288	13.030	13.3613333333487	0.0106666666688398	
2	31/03/2017	12:03:19	 0.697	275.000	10.000	 0.357	206.907	  -0.6	 0.987	184.555	 -0.05	 0.197	146.841	 -1.47	 0.538	 0.261	  0.02	  0.04	0.853879074357792	1.07301860000189	 23.63	 23.50	 26.43	 25.80	13.766	13.288	13.030	13.3613333333487	0.0106666666688398	
3	31/03/2017	12:03:21	 0.697	275.000	10.000	 0.358	206.894	  -0.6	 0.990	184.551	 -0.06	 0.197	146.841	 -1.47	 0.538	 0.262	  0.02	  0.04	0.861240784951406	1.08226962000117	 23.63	 23.51	 26.43	 25.80	13.766	13.288	13.029	13.3609999999899	0.0110000000277068	
4	31/03/2017	12:03:23	 0.697	275.000	10.000	 0.358	206.865	  -0.5	 1.001	184.550	 -0.03	 0.197	146.841	 -1.47	 0.538	 0.263	  0.02	  0.04	0.86860249554411	1.09152064000045	 23.63	 23.51	 26.42	 25.80	13.766	13.288	13.029	13.3606666666601	0.0113333333574701	
5	31/03/2017	12:03:27	 0.697	275.000	10.000	 0.359	206.853	  -0.5	 1.007	184.553	  0.04	 0.197	146.841	 -1.47	 0.538	 0.265	  0.02	  0.04	0.883325916729518	1.11002267999902	 23.63	 23.51	 26.43	 25.80	13.765	13.289	13.029	13.3609999999899	0.0106666666688398	
6	31/03/2017	12:03:29	 0.623	275.000	10.000	 0.359	206.815	  -0.5	 0.991	184.558	  0.12	 0.197	146.841	 -1.47	 0.538	 0.265	  0.02	  0.04	0.883325916729518	1.11002267999902	 23.63	 23.51	 26.44	 25.80	13.765	13.288	13.029	13.3606666666601	0.0113333333574701	
7	31/03/2017	12:03:31	 0.621	275.000	10.000	 0.359	206.803	  -0.5	 0.987	184.556	 -0.05	 0.197	146.841	 -1.47	 0.538	 0.266	  0.02	  0.04	0.890687627324951	1.11927370000194	 23.63	 23.51	 26.43	 25.81	13.766	13.288	13.029	13.3609999999899	0.0110000000277068	
8	31/03/2017	12:03:33	 1.381	274.488	-9.491	 0.360	206.778	  -0.4	 0.986	184.554	 -0.06	 0.197	146.841	 -1.47	 0.546	 0.266	  0.02	  0.04	0.874813614082086	1.09932578000007	 23.63	 23.51	 26.43	 25.81	13.765	13.289	13.029	13.3609999999899	0.0110000000277068	
9	31/03/2017	12:03:36	 1.902	273.268	-21.595	 0.361	206.754	  -0.5	 0.994	184.551	 -0.04	 0.197	146.841	 -1.47	 0.554	 0.267	  0.02	  0.04	0.866301311430107	1.08862887999567	 23.63	 23.51	 26.43	 25.80	13.764	13.289	13.029	13.3606666666601	0.0113333333574701	
10	31/03/2017	12:03:38	 1.926	272.736	-22.165	 0.362	206.742	  -0.6	 1.002	184.551	 -0.05	 0.197	146.841	 -1.47	 0.560	 0.268	  0.02	  0.04	0.86175751209521	1.08291895999901	 23.63	 23.51	 26.43	 25.80	13.765	13.289	13.029	13.3609999999899	0.0110000000277068	
11	31/03/2017	12:03:40	 1.936	271.519	-22.518	 0.365	206.711	  -0.6	 1.007	184.558	  0.07	 0.197	146.841	 -1.47	 0.566	 0.269	  0.02	  0.04	0.857213712756675	1.07720903999871	 23.63	 23.51	 26.43	 25.80	13.765	13.290	13.029	13.3609999999899	0.0110000000277068	
12	31/03/2017	12:03:42	 1.940	270.835	-22.515	 0.367	206.692	  -0.6	 0.993	184.560	  0.13	 0.197	146.841	 -1.47	 0.573	 0.270	  0.02	  0.04	0.850685661762327	1.06900562999726	 23.63	 23.52	 26.44	 25.80	13.766	13.290	13.029	13.3616666666785	0.0103333333390765	
13	31/03/2017	12:03:44	 1.943	270.137	-22.507	 0.367	206.673	  -0.7	 0.988	184.559	  0.00	 0.197	146.841	 -1.47	 0.579	 0.270	  0.02	  0.04	0.836795900177094	1.06080222000128	 23.63	 23.52	 26.43	 25.80	13.766	13.289	13.029	13.3616666666785	0.0103333333390765	
14	31/03/2017	12:03:47	 1.944	269.498	-22.509	 0.371	206.635	  -0.7	 0.986	184.557	 -0.04	 0.197	146.841	 -1.47	 0.586	 0.272	  0.02	  0.04	0.837629559775451	1.0525988099962	 23.63	 23.52	 26.43	 25.80	13.766	13.290	13.028	13.3609999999899	0.0110000000277068	
15	31/03/2017	12:03:49	 1.954	268.298	-22.466	 0.381	206.597	  -0.8	 0.985	184.553	 -0.07	 0.197	146.841	 -1.47	 0.593	 0.274	  0.02	  0.04	0.838463219378355	1.0536464199995	 23.63	 23.52	 26.44	 25.80	13.766	13.290	13.028	13.3613333333487	0.0106666666688398	
16	31/03/2017	12:03:51	 1.956	267.655	-22.384	 0.378	206.576	  -0.8	 0.991	184.551	 -0.06	 0.197	146.841	 -1.47	 0.600	 0.275	  0.02	  0.04	0.83391942003891	1.05718751999666	 23.63	 23.52	 26.43	 25.80	13.765	13.290	13.028	13.3613333333487	0.0106666666688398	
17	31/03/2017	12:03:53	 1.959	267.027	-22.357	 0.378	206.555	  -0.8	 1.003	184.550	 -0.00	 0.197	146.841	 -1.47	 0.606	 0.277	  0.02	  0.04	0.834753079641814	1.04898411000067	 23.63	 23.52	 26.43	 25.80	13.765	13.290	13.028	13.3609999999899	0.0110000000277068	
18	31/03/2017	12:03:55	 1.968	265.762	-22.349	 0.384	206.510	  -0.9	 1.008	184.555	  0.07	 0.197	146.841	 -1.47	 0.613	 0.278	  0.02	  0.04	0.828225028645647	1.04078069999741	 23.63	 23.52	 26.43	 25.80	13.766	13.291	13.028	13.3616666666785	0.0103333333390765	
19	31/03/2017	12:03:57	 1.970	265.125	-22.337	 0.385	206.486	  -0.9	 0.992	184.560	  0.05	 0.197	146.841	 -1.47	 0.621	 0.279	  0.02	  0.04	0.819712725998215	1.03008379999847	 23.63	 23.52	 26.43	 25.80	13.765	13.291	13.028	13.3613333333487	0.0106666666688398	
20	31/03/2017	12:04:00	 1.977	264.488	-22.237	 0.387	206.437	  -1.0	 0.988	184.559	  0.01	 0.197	146.841	 -1.47	 0.630	 0.281	  0.02	  0.04	0.818562133943487	1.0286379199988	 23.63	 23.52	 26.43	 25.81	13.765	13.291	13.028	13.3613333333487	0.0106666666688398	
21	31/03/2017	12:04:02	 1.980	263.872	-22.220	 0.392	206.413	  -1.0	 0.986	184.557	 -0.04	 0.197	146.841	 -1.47	 0.636	 0.283	  0.02	  0.04	0.819395793543663	1.02968553000028	 23.63	 23.52	 26.43	 25.80	13.765	13.292	13.028	13.3616666666785	0.0103333333390765	
22	31/03/2017	12:04:04	 1.985	262.663	-22.192	 0.392	206.362	  -1.0	 0.985	184.553	 -0.07	 0.197	146.841	 -1.47	 0.643	 0.285	  0.02	  0.04	0.820229453142019	1.03073313999812	 23.63	 23.52	 26.43	 25.80	13.765	13.292	13.028	13.3616666666785	0.0103333333390765	
23	31/03/2017	12:04:06	 1.992	262.031	-22.188	 0.398	206.336	  -1.0	 0.991	184.551	 -0.06	 0.197	146.841	 -1.47	 0.652	 0.287	  0.02	  0.04	0.81907886108911	1.02928726000027	 23.63	 23.52	 26.43	 25.80	13.765	13.292	13.028	13.3616666666785	0.0103333333390765	
24	31/03/2017	12:04:08	 1.999	261.391	-22.140	 0.401	206.280	  -1.1	 1.000	184.550	 -0.05	 0.197	146.841	 -1.47	 0.659	 0.289	  0.02	  0.04	0.819912520692014	1.03033487000357	 23.63	 23.52	 26.42	 25.80	13.765	13.293	13.028	13.3620000000083	0.0100000000093132	
25	31/03/2017	12:04:11	 2.004	260.200	-22.059	 0.394	206.254	  -1.1	 1.008	184.557	  0.11	 0.198	146.841	 -1.47	 0.667	 0.291	  0.02	  0.04	0.818761928634558	1.02888899000027	 23.63	 23.52	 26.43	 25.80	13.765	13.293	13.028	13.3620000000083	0.0100000000093132	
26	31/03/2017	12:04:13	 2.010	259.618	-22.038	 0.407	206.199	  -1.1	 0.997	184.560	  0.09	 0.198	146.841	 -1.47	 0.676	 0.293	  0.02	  0.04	0.813642833269114	1.03170714999942	 23.63	 23.52	 26.43	 25.80	13.765	13.293	13.027	13.3616666666785	0.0103333333390765	
27	31/03/2017	12:04:15	 2.013	258.986	-22.024	 0.410	206.170	  -1.1	 0.987	184.560	  0.04	 0.198	146.841	 -1.47	 0.684	 0.295	  0.02	  0.04	0.814476492871108	1.03026126999612	 23.63	 23.52	 26.43	 25.80	13.764	13.293	13.027	13.3613333333487	0.0106666666688398	
28	31/03/2017	12:04:17	 2.022	257.827	-21.896	 0.416	206.112	  -1.2	 0.986	184.556	 -0.03	 0.198	146.841	 -1.47	 0.692	 0.297	  0.02	  0.04	0.813325900814561	1.02881538999645	 23.63	 23.52	 26.44	 25.80	13.764	13.293	13.027	13.3613333333487	0.0103333333390765	
29	31/03/2017	12:04:19	 2.024	257.216	-21.888	 0.413	206.083	  -1.2	 0.986	184.554	 -0.07	 0.198	146.841	 -1.47	 0.701	 0.300	  0.02	  0.04	0.81556851604455	1.02487602000292	 23.63	 23.52	 26.44	 25.80	13.764	13.294	13.027	13.3616666666785	0.0103333333390765	
30	31/03/2017	12:04:22	 2.039	256.617	-21.874	 0.419	206.022	  -1.2	 0.994	184.552	 -0.07	 0.198	146.841	 -1.47	 0.710	 0.302	  0.02	  0.04	0.814417923988913	1.02343014000144	 23.63	 23.52	 26.44	 25.80	13.764	13.295	13.027	13.3620000000083	0.0100000000093132	
31	31/03/2017	12:04:24	 2.041	255.458	-21.769	 0.421	205.992	  -1.3	 1.003	184.551	 -0.01	 0.198	146.841	 -1.47	 0.720	 0.305	  0.02	  0.04	0.816660539214354	1.02624829999877	 23.63	 23.52	 26.45	 25.80	13.764	13.295	13.027	13.3620000000083	0.0100000000093132	
32	31/03/2017	12:04:26	 2.044	254.892	-21.735	 0.422	205.929	  -1.3	 1.007	184.554	  0.09	 0.198	146.841	 -1.47	 0.729	 0.308	  0.02	  0.04	0.820887406096517	1.03155994999724	 23.63	 23.52	 26.44	 25.80	13.764	13.295	13.026	13.3613333333487	0.0106666666688398	
33	31/03/2017	12:04:28	 2.053	254.285	-21.722	 0.423	205.894	  -1.3	 0.993	184.559	  0.12	 0.198	146.841	 -1.47	 0.738	 0.310	  0.02	  0.04	0.817752562387795	1.02762057999826	 23.63	 23.52	 26.44	 25.80	13.764	13.296	13.026	13.3620000000083	0.0100000000093132	
34	31/03/2017	12:04:30	 2.062	253.068	-21.630	 0.432	205.827	  -1.3	 0.988	184.557	 -0.04	 0.198	146.841	 -1.47	 0.747	 0.312	  0.02	  0.04	0.814617718675436	1.02794525000354	 23.63	 23.52	 26.45	 25.80	13.764	13.296	13.026	13.3620000000083	0.0100000000093132	
35	31/03/2017	12:04:32	 2.067	252.418	-21.579	 0.434	205.789	  -1.4	 0.987	184.555	 -0.05	 0.198	146.841	 -1.47	 0.757	 0.315	  0.02	  0.04	0.816860333907243	1.02400588000273	 23.63	 23.52	 26.45	 25.80	13.764	13.297	13.026	13.362333333338	0.00966666667954996	
36	31/03/2017	12:04:35	 2.078	251.842	-21.568	 0.442	205.721	  -1.4	 0.990	184.553	 -0.07	 0.198	146.841	 -1.47	 0.767	 0.318	  0.02	  0.04	0.819102949137232	1.03607505999935	 23.63	 23.52	 26.45	 25.80	13.763	13.297	13.026	13.3620000000083	0.0100000000093132	
37	31/03/2017	12:04:37	 2.084	250.715	-21.528	 0.443	205.686	  -1.4	 1.000	184.550	 -0.07	 0.198	146.841	 -1.47	 0.777	 0.322	  0.02	  0.04	0.826723023299564	1.03889322000032	 23.63	 23.52	 26.45	 25.80	13.763	13.298	13.026	13.362333333338	0.00966666667954996	
38	31/03/2017	12:04:39	 2.084	250.150	-21.436	 0.448	205.615	  -1.5	 1.007	184.553	  0.07	 0.198	146.841	 -1.47	 0.787	 0.324	  0.02	  0.04	0.826981386872831	1.03921789000015	 23.63	 23.52	 26.45	 25.80	13.763	13.298	13.026	13.362333333338	0.0100000000093132	
39	31/03/2017	12:04:41	 2.101	248.978	-21.408	 0.452	205.579	  -1.5	 0.995	184.558	  0.11	 0.198	146.841	 -1.47	 0.800	 0.327	  0.02	  0.04	0.819878039852483	1.03029154000069	 23.63	 23.52	 26.45	 25.80	13.762	13.298	13.026	13.3620000000083	0.0100000000093132	
40	31/03/2017	12:04:43	 2.102	248.422	-21.335	 0.454	205.507	  -1.5	 0.989	184.560	  0.00	 0.198	146.841	 -1.47	 0.810	 0.330	  0.02	  0.04	0.822120655077924	1.03310969999802	 23.63	 23.52	 26.45	 25.80	13.762	13.299	13.025	13.3620000000083	0.0100000000093132	
41	31/03/2017	12:04:46	 2.109	247.802	-21.265	 0.457	205.466	  -1.6	 0.987	184.558	 -0.02	 0.198	146.841	 -1.47	 0.820	 0.334	  0.02	  0.04	0.831724980899708	1.04517887999828	 23.63	 23.52	 26.45	 25.81	13.762	13.299	13.025	13.3620000000083	0.0100000000093132	
42	31/03/2017	12:04:48	 2.120	247.209	-21.256	 0.465	205.386	  -1.6	 0.985	184.556	 -0.06	 0.198	146.841	 -1.47	 0.831	 0.337	  0.02	  0.04	0.831983344473883	1.04550354999992	 23.63	 23.52	 26.45	 25.80	13.762	13.299	13.025	13.3620000000083	0.00966666667954996	
43	31/03/2017	12:04:50	 2.130	245.995	-21.233	 0.467	205.341	  -1.6	 0.989	184.551	 -0.07	 0.198	146.841	 -1.47	 0.842	 0.340	  0.02	  0.04	0.832241708048059	1.04582822000157	 23.63	 23.52	 26.45	 25.81	13.761	13.300	13.025	13.3620000000083	0.0100000000093132	
44	31/03/2017	12:04:52	 2.136	245.442	-21.107	 0.469	205.263	  -1.7	 0.999	184.550	 -0.07	 0.198	146.841	 -1.47	 0.853	 0.343	  0.02	  0.04	0.839861782214939	1.05540391000432	 23.63	 23.52	 26.45	 25.81	13.762	13.300	13.025	13.362333333338	0.00966666667954996	
45	31/03/2017	12:04:54	 2.141	244.881	-21.082	 0.473	205.219	  -1.7	 1.007	184.553	  0.07	 0.198	146.841	 -1.47	 0.865	 0.347	  0.02	  0.04	0.838135894131483	1.053235090003	 23.63	 23.52	 26.45	 25.80	13.761	13.301	13.025	13.362333333338	0.00966666667954996	
46	31/03/2017	12:04:56	 2.157	243.708	-21.018	 0.478	205.133	  -1.7	 0.994	184.560	  0.12	 0.198	146.841	 -1.47	 0.876	 0.349	  0.02	  0.04	0.829048295455323	1.0418152500024	 23.63	 23.52	 26.45	 25.80	13.761	13.302	13.024	13.362333333338	0.00966666667954996	
47	31/03/2017	12:04:59	 2.161	243.079	-20.928	 0.481	205.087	  -1.8	 0.988	184.559	 -0.00	 0.198	146.841	 -1.47	 0.887	 0.353	  0.02	  0.04	0.834684117964571	1.05814846999965	 23.63	 23.52	 26.46	 25.80	13.761	13.303	13.024	13.3626666666823	0.00933333333523478	
48	31/03/2017	12:05:01	 2.170	242.532	-20.831	 0.485	205.043	  -1.8	 0.986	184.557	 -0.03	 0.198	146.841	 -1.47	 0.899	 0.356	  0.02	  0.04	0.832958229884753	1.04672863000269	 23.63	 23.52	 26.45	 25.80	13.761	13.303	13.024	13.3626666666823	0.00933333333523478	
49	31/03/2017	12:05:03	 2.176	241.920	-20.800	 0.493	204.948	  -1.8	 0.985	184.555	 -0.06	 0.198	146.841	 -1.47	 0.912	 0.359	  0.02	  0.04	0.829248090146393	1.04206632000205	 23.63	 23.52	 26.46	 25.80	13.761	13.304	13.024	13.3626666666823	0.00933333333523478	
50	31/03/2017	12:05:05	 2.193	240.878	-20.725	 0.497	204.909	  -1.9	 0.990	184.551	 -0.07	 0.198	146.841	 -1.47	 0.926	 0.362	  0.02	  0.04	0.827522202062937	1.03989750000073	 23.63	 23.52	 26.48	 25.80	13.760	13.305	13.024	13.3630000000121	0.00900000000547152	
51	31/03/2017	12:05:07	 2.194	240.306	-20.635	 0.502	204.821	  -1.9	 0.999	184.550	 -0.06	 0.198	146.841	 -1.47	 0.939	 0.364	  0.02	  0.04	0.816450351731874	1.02598417000081	 23.63	 23.52	 26.46	 25.80	13.760	13.305	13.024	13.3630000000121	0.00900000000547152	
52	31/03/2017	12:05:09	 2.214	239.263	-20.621	 0.502	204.725	  -2.0	 1.009	184.558	  0.02	 0.198	146.841	 -1.47	 0.952	 0.364	  0.02	  0.04	0.790655080215402	0.993568800002322	 23.63	 23.52	 26.46	 25.80	13.761	13.305	13.023	13.3629999999976	0.00900000002002344	
53	31/03/2017	12:05:12	 2.216	238.618	-20.482	 0.505	204.667	  -2.2	 0.994	184.561	  0.08	 0.198	146.841	 -1.47	 0.965	 0.360	  0.02	  0.04	0.735412966321746	0.924149349998515	 23.63	 23.52	 26.48	 25.80	13.761	13.306	13.023	13.3633333333419	0.00833333334594499	
54	31/03/2017	12:05:14	 2.226	238.094	-20.465	 0.510	204.615	  -2.4	 0.988	184.560	  0.03	 0.198	146.841	 -1.47	 0.979	 0.360	  0.02	  0.04	0.707633443150371	0.889240490000702	 23.63	 23.52	 26.48	 25.81	13.761	13.307	13.023	13.3636666666716	0.00800000001618173	
55	31/03/2017	12:05:16	 2.238	236.915	-20.412	 0.510	204.488	  -2.5	 0.985	184.558	 -0.04	 0.198	146.841	 -1.47	 0.992	 0.362	  0.02	  0.04	0.696561592819307	0.870340180002131	 23.63	 23.52	 26.48	 25.80	13.761	13.308	13.023	13.3636666666716	0.00833333334594499	
56	31/03/2017	12:05:18	 2.251	236.347	-20.278	 0.519	204.420	  -2.6	 0.985	184.553	 -0.08	 0.198	146.841	 -1.47	 1.006	 0.366	  0.02	  0.04	0.698228912019658	0.869941909998488	 23.63	 23.52	 26.45	 25.80	13.760	13.308	13.023	13.3636666666716	0.00833333334594499	
57	31/03/2017	12:05:20	 2.260	235.761	-20.231	 0.528	204.290	  -2.7	 0.993	184.551	 -0.06	 0.198	146.841	 -1.47	 1.021	 0.371	  0.02	  0.04	0.70527369015781	0.886275130000286	 23.63	 23.52	 26.46	 25.80	13.760	13.309	13.022	13.3636666666716	0.00833333334594499	
58	31/03/2017	12:05:22	 2.265	235.193	-20.161	 0.531	204.217	  -2.7	 1.000	184.551	 -0.02	 0.198	146.841	 -1.47	 1.034	 0.376	  0.02	  0.04	0.719680178888666	0.904378899998846	 23.63	 23.52	 26.46	 25.80	13.759	13.310	13.022	13.3636666666716	0.00833333334594499	
59	31/03/2017	12:05:24	 2.286	234.104	-20.053	 0.543	204.088	  -2.7	 1.006	184.554	  0.07	 0.198	146.841	 -1.47	 1.049	 0.381	  0.02	  0.04	0.71737899477921	0.910738160003348	 23.63	 23.52	 26.46	 25.80	13.760	13.310	13.022	13.3643333333312	0.00766666668641847	
60	31/03/2017	12:05:27	 2.293	233.498	-20.011	 0.544	204.015	  -2.6	 0.997	184.560	  0.10	 0.198	146.841	 -1.47	 1.063	 0.386	  0.02	  0.04	0.732360779538794	0.915326869998353	 23.63	 23.52	 26.47	 25.80	13.760	13.311	13.022	13.3643333333457	0.00766666667186655	
61	31/03/2017	12:05:29	 2.306	232.960	-19.874	 0.546	203.948	  -2.7	 0.989	184.560	  0.00	 0.198	146.841	 -1.47	 1.080	 0.391	  0.02	  0.04	0.731468551055514	0.919192639998982	 23.63	 23.52	 26.47	 25.80	13.759	13.312	13.021	13.3640000000014	0.00800000001618173	
62	31/03/2017	12:05:31	 2.310	232.409	-19.845	 0.554	203.816	  -2.7	 0.987	184.558	 -0.02	 0.198	146.841	 -1.47	 1.094	 0.395	  0.02	  0.04	0.733135870258593	0.921287860001939	 23.63	 23.52	 26.47	 25.80	13.759	13.313	13.021	13.3643333333312	0.00766666668641847	
63	31/03/2017	12:05:33	 2.331	231.352	-19.743	 0.559	203.748	  -2.8	 0.985	184.554	 -0.07	 0.198	146.841	 -1.47	 1.110	 0.400	  0.02	  0.04	0.736212145087848	0.925153630003479	 23.63	 23.52	 26.47	 25.80	13.758	13.314	13.021	13.3643333333312	0.00766666668641847	
64	31/03/2017	12:05:35	 2.335	230.827	-19.658	 0.568	203.611	  -2.8	 0.987	184.552	 -0.08	 0.198	146.841	 -1.47	 1.130	 0.405	  0.02	  0.04	0.746650130506168	0.938270419999753	 23.63	 23.52	 26.47	 25.80	13.758	13.315	13.021	13.3646666666609	0.0073333333566552	
65	31/03/2017	12:05:37	 2.350	230.276	-19.558	 0.573	203.538	  -2.9	 0.995	184.550	 -0.07	 0.198	146.841	 -1.47	 1.146	 0.411	  0.02	  0.04	0.751710656990326	0.939642700005606	 23.63	 23.52	 26.47	 25.80	13.758	13.316	13.021	13.3650000000052	0.00700000001234002	
