Record number	date	time	Radial Pump P(MPa)	Radial Pump V(mL)	Radial Pump Q(mL/m)	Axial Pump P(MPa)	Axial Pump V(mL)	Axial Pump Q(mL/m)	Bottom Pore Pump P(MPa)	Bottom Pore Pump V(mL)	Bottom Pore Pump Q(mL/m)	Top Pore Pump P(MPa)	Top Pore Pump V(mL)	Top Pore Pump Q(mL/m)	Radial Pressure(MPa)	Axial Pressure(MPa)	Top Pore Pressure(MPa)	Bottom Pore Pressure(MPa)	Calculated Axial Stress(MPa)	Calculated Axial Load(kN)	T Cap reg(°C)	T Body reg(°C)	Top Temperature(°C)	Bottom Temperature (°C)	Deformation 1(mm)	Deformation 2(mm)	Deformation 3(mm)	Average Deformation(mm)	Relative Average Deformation(mm)	
1	21/02/2018	11:01:37	 0.580	258.073	-15.000	 0.364	180.991	  0.00	 0.211	207.398	 -1.00	 0.198	193.076	 -3.00	 0.563	 0.290	  0.06	  0.09	1.01776239018	1.27896092999799	 22.22	 22.24	 25.24	 24.45	12.916	13.002	13.024	12.9806666666846	0.0230000000010477	
2	21/02/2018	11:01:39	 0.580	258.073	-15.000	 0.364	180.991	  0.00	 0.211	207.398	 -1.00	 0.197	193.076	 -3.00	 0.563	 0.290	  0.06	  0.09	1.01776239018	1.27896092999799	 22.22	 22.24	 25.23	 24.45	12.916	13.002	13.024	12.9806666666846	0.023333333330811	
3	21/02/2018	11:01:42	 0.580	258.073	-15.000	 0.364	180.991	  0.00	 0.211	207.398	 -1.00	 0.197	193.076	 -3.00	 0.563	 0.290	  0.06	  0.09	1.01776239018	1.27896092999799	 22.22	 22.24	 25.22	 24.45	12.916	13.002	13.024	12.9806666666846	0.023333333330811	
4	21/02/2018	11:01:44	 0.580	258.073	-15.000	 0.364	180.991	  0.00	 0.211	207.398	 -1.00	 0.197	193.076	 -3.00	 0.563	 0.289	  0.06	  0.09	1.01040067959002	1.26970991000235	 22.22	 22.24	 25.22	 24.45	12.916	13.003	13.024	12.9810000000143	0.0230000000010477	
5	21/02/2018	11:01:46	 0.580	258.073	-15.000	 0.363	180.988	 -0.31	 0.211	207.398	 -1.00	 0.197	193.076	 -3.00	 0.563	 0.289	  0.06	  0.09	1.01040067959002	1.26970991000235	 22.22	 22.24	 25.22	 24.45	12.916	13.002	13.024	12.9806666666846	0.023333333330811	
6	21/02/2018	11:01:47	 0.580	258.073	-15.000	 0.365	180.981	 -0.31	 0.211	207.398	 -1.00	 0.197	193.076	 -3.00	 0.563	 0.290	  0.06	  0.09	1.01776239018	1.27896092999799	 22.22	 22.24	 25.22	 24.45	12.916	13.003	13.024	12.9810000000143	0.0230000000010477	
7	21/02/2018	11:01:49	 0.580	258.073	-15.000	 0.366	180.976	  0.00	 0.211	207.398	 -1.00	 0.197	193.076	 -3.00	 0.563	 0.290	  0.06	  0.09	1.01776239018	1.27896092999799	 22.22	 22.24	 25.22	 24.45	12.915	13.002	13.024	12.9806666666846	0.023333333330811	
8	21/02/2018	11:01:51	 0.580	258.073	-15.000	 0.366	180.976	  0.00	 0.211	207.398	 -1.00	 0.198	193.076	 -3.00	 0.563	 0.291	  0.06	  0.09	1.02512410077725	1.28821195000091	 22.22	 22.24	 25.22	 24.45	12.916	13.002	13.024	12.9806666666846	0.023333333330811	
9	21/02/2018	11:01:53	 0.579	258.073	-15.000	 0.366	180.976	  0.00	 0.211	207.398	 -1.00	 0.198	193.076	 -3.00	 0.563	 0.291	  0.06	  0.09	1.02512410077725	1.28821195000091	 22.22	 22.24	 25.22	 24.45	12.916	13.003	13.024	12.9810000000143	0.023333333330811	
10	21/02/2018	11:01:55	 0.579	258.073	-15.000	 0.366	180.976	  0.00	 0.211	207.398	 -1.00	 0.198	193.076	 -3.00	 0.563	 0.291	  0.06	  0.09	1.02512410077725	1.28821195000091	 22.22	 22.24	 25.22	 24.45	12.916	13.002	13.024	12.9806666666846	0.023333333330811	
11	21/02/2018	11:01:56	 0.579	258.073	-15.000	 0.366	180.976	  0.00	 0.211	207.398	 -1.00	 0.198	193.076	 -3.00	 0.563	 0.290	  0.06	  0.09	1.01776239018	1.27896092999799	 22.22	 22.24	 25.22	 24.45	12.916	13.003	13.024	12.9810000000143	0.0230000000010477	
12	21/02/2018	11:01:58	 0.579	258.073	-15.000	 0.365	180.976	  0.00	 0.211	207.398	 -1.00	 0.198	193.076	 -3.00	 0.563	 0.290	  0.06	  0.09	1.01776239018	1.27896092999799	 22.22	 22.24	 25.22	 24.45	12.915	13.003	13.024	12.9810000000143	0.0230000000010477	
13	21/02/2018	11:02:00	 0.579	258.073	-15.000	 0.365	180.976	  0.00	 0.211	207.398	 -1.00	 0.198	193.076	 -3.00	 0.563	 0.290	  0.06	  0.09	1.01776239018	1.27896092999799	 22.22	 22.24	 25.22	 24.45	12.916	13.003	13.024	12.9810000000143	0.0230000000010477	
14	21/02/2018	11:02:02	 0.579	258.073	-15.000	 0.365	180.976	  0.00	 0.211	207.398	 -1.00	 0.198	193.076	 -3.00	 0.563	 0.290	  0.06	  0.09	1.01776239018	1.27896092999799	 22.22	 22.24	 25.22	 24.45	12.916	13.002	13.024	12.9806666666846	0.023333333330811	
